study,topic,Topic,pid_3,format,term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome,category,Estimator,value,Party,Format,lab_outside
1,Disputed accusation,Disputed accusation,Republican,Change + level,(Intercept),-0.29787234042553196,0.09081241717341385,-3.2800838222015387,0.001982962602523786,-0.480668255281132,-0.11507642556993192,45.99999999999854,YC,  Diff,More-less,-0.29787234042553196,Republican,Change + level,-0.30 (0.09)
1,Disputed accusation,Disputed accusation,Republican,Counterfactual,(Intercept),NA,0.07728596868577993,7.3936910042729425,4.6090447487802505e-9,NA,NA,41.00000000000066,(YC == -1),Less,More-less,0.5714285714285714,Republican,Counterfactual,NA
1,Disputed accusation,Disputed accusation,Republican,Counterfactual,(Intercept),NA,0.07584124375059006,5.0230239130198475,1.041504761627665e-5,NA,NA,41.00000000000066,(YC == 0), Same,More-less,0.380952380952381,Republican,Counterfactual,NA
1,Disputed accusation,Disputed accusation,Republican,Counterfactual,(Intercept),NA,0.03325858551283706,1.4317821063276355,0.15978587840991432,NA,NA,41.00000000000066,(YC == 1), More,More-less,0.04761904761904762,Republican,Counterfactual,NA
1,Disputed accusation,Disputed accusation,Republican,Counterfactual,(Intercept),-0.5238095238095238,0.09168759282690152,-5.712981524102528,1.1069818235817574e-6,-0.7089763740045982,-0.3386426736144495,41.00000000000066,YC,  Diff,More-less,-0.5238095238095238,Republican,Counterfactual,-0.52 (0.09)
1,Endorsed Trump,Endorsed Trump,Democrat,Change,(Intercept),NA,0.05623975840347624,14.090615832725504,2.164305748348559e-19,NA,NA,52.00000000000322,(YC == -1),Less,More-less,0.7924528301886795,Democrat,Change,NA
1,Endorsed Trump,Endorsed Trump,Democrat,Change,(Intercept),NA,0.0496447935456809,3.040467800264368,0.0036939969176518783,NA,NA,52.00000000000322,(YC == 0), Same,More-less,0.15094339622641512,Democrat,Change,NA
1,Endorsed Trump,Endorsed Trump,Democrat,Change,(Intercept),NA,0.0320455764380546,1.7663521732655698,0.0832063817446932,NA,NA,52.00000000000322,(YC == 1), More,More-less,0.056603773584905676,Democrat,Change,NA
1,Endorsed Trump,Endorsed Trump,Democrat,Change,(Intercept),-0.7358490566037739,0.07690938345133104,-9.567740938521837,4.674452972327379e-13,-0.8901790251856514,-0.5815190880218963,52.00000000000322,YC,  Diff,More-less,-0.7358490566037739,Democrat,Change,-0.74 (0.08)
1,Endorsed Trump,Endorsed Trump,Democrat,Change + level,(Intercept),NA,0.06358669845936321,11.965860528261983,1.4082867432897425e-15,NA,NA,44.999999999999766,(YC == -1),Less,More-less,0.7608695652173912,Democrat,Change + level,NA
1,Endorsed Trump,Endorsed Trump,Democrat,Change + level,(Intercept),NA,0.06148754619013458,3.535533905932737,9.558775168378052e-4,NA,NA,44.999999999999766,(YC == 0), Same,More-less,0.21739130434782608,Democrat,Change + level,NA
1,Endorsed Trump,Endorsed Trump,Democrat,Change + level,(Intercept),NA,0.02173913043478261,0.9999999999999999,0.32265765224996146,NA,NA,44.999999999999766,(YC == 1), More,More-less,0.021739130434782608,Democrat,Change + level,NA
1,Endorsed Trump,Endorsed Trump,Democrat,Change + level,(Intercept),-0.7391304347826086,0.07246376811594202,-10.200000000000001,2.7862973738187745e-13,-0.8850799557160033,-0.593180913849214,44.999999999999766,YC,  Diff,More-less,-0.7391304347826086,Democrat,Change + level,-0.74 (0.07)
1,Endorsed Trump,Endorsed Trump,Democrat,Counterfactual,(Intercept),NA,0.07425392901036847,5.2032753217635985,5.188704319254484e-6,NA,NA,43.00000000000049,(YC == -1),Less,More-less,0.3863636363636364,Democrat,Counterfactual,NA
1,Endorsed Trump,Endorsed Trump,Democrat,Counterfactual,(Intercept),NA,0.07617047451458002,6.265849468764581,1.5003611102224942e-7,NA,NA,43.00000000000049,(YC == 0), Same,More-less,0.4772727272727273,Democrat,Counterfactual,NA
1,Endorsed Trump,Endorsed Trump,Democrat,Counterfactual,(Intercept),NA,0.05233358898302987,2.6056618514708556,0.012546382109556836,NA,NA,43.00000000000049,(YC == 1), More,More-less,0.13636363636363638,Democrat,Counterfactual,NA
1,Endorsed Trump,Endorsed Trump,Democrat,Counterfactual,(Intercept),-0.25000000000000006,0.10345511022113317,-2.416507018992394,0.01998762279550366,-0.45863711375321403,-0.04136288624678611,43.00000000000049,YC,  Diff,More-less,-0.25000000000000006,Democrat,Counterfactual,-0.25 (0.10)
1,Endorsed Trump,Endorsed Trump,Republican,Change,(Intercept),NA,0.03768738858261602,1.4342743312012722,0.16012407999051023,NA,NA,35.99999999999888,(YC == -1),Less,More-less,0.05405405405405406,Republican,Change,NA
1,Endorsed Trump,Endorsed Trump,Republican,Change,(Intercept),NA,0.079565413210160807,4.415880433163922,8.810089875722771e-5,NA,NA,35.99999999999888,(YC == 0), Same,More-less,0.35135135135135137,Republican,Change,NA
1,Endorsed Trump,Endorsed Trump,Republican,Change,(Intercept),NA,0.08182838794858087,7.266360849833979,1.4729469700102871e-8,NA,NA,35.99999999999888,(YC == 1), More,More-less,0.5945945945945946,Republican,Change,NA
1,Endorsed Trump,Endorsed Trump,Republican,Change,(Intercept),0.5405405405405406,0.09950775691159695,5.432144762551111,3.990769194921599e-6,0.33872945569710955,0.7423516253839716,35.99999999999888,YC,  Diff,More-less,0.5405405405405406,Republican,Change,0.54 (0.10)
1,Endorsed Trump,Endorsed Trump,Republican,Change + level,(Intercept),NA,0.062426763436828826,3.7490739597339977,4.947643601247731e-4,NA,NA,45.99999999999854,(YC == -1),Less,More-less,0.2340425531914894,Republican,Change + level,NA
1,Endorsed Trump,Endorsed Trump,Republican,Change + level,(Intercept),NA,0.07330262843906579,6.095395487894627,2.0830180880127999e-7,NA,NA,45.99999999999854,(YC == 0), Same,More-less,0.44680851063829796,Republican,Change + level,NA
1,Endorsed Trump,Endorsed Trump,Republican,Change + level,(Intercept),NA,0.06872960451806369,4.643543905251677,2.876201546865802e-5,NA,NA,45.99999999999854,(YC == 1), More,More-less,0.3191489361702128,Republican,Change + level,NA
1,Endorsed Trump,Endorsed Trump,Republican,Change + level,(Intercept),0.08510638297872344,0.1089423853453683,0.7812054299060907,0.438683876540663,-0.13418326501875308,0.30439603097619994,45.99999999999854,YC,  Diff,More-less,0.08510638297872344,Republican,Change + level,0.09 (0.11)
1,Endorsed Trump,Endorsed Trump,Republican,Counterfactual,(Intercept),NA,0.0640821399224722,3.3439225741362764,0.0017736045613776649,NA,NA,41.00000000000066,(YC == -1),Less,More-less,0.2142857142857143,Republican,Counterfactual,NA
1,Endorsed Trump,Endorsed Trump,Republican,Counterfactual,(Intercept),NA,0.07362101738323104,9.055385138137416,2.4833758774140626e-11,NA,NA,41.00000000000066,(YC == 0), Same,More-less,0.6666666666666667,Republican,Counterfactual,NA
1,Endorsed Trump,Endorsed Trump,Republican,Counterfactual,(Intercept),NA,0.050576019442051125,2.353835283221946,0.02345478556382826,NA,NA,41.00000000000066,(YC == 1), More,More-less,0.11904761904761905,Republican,Counterfactual,NA
1,Endorsed Trump,Endorsed Trump,Republican,Counterfactual,(Intercept),-0.09523809523809522,0.08893174123309444,-1.0709122965271929,0.29047271798425967,-0.27483939023102,0.08436319975482957,41.00000000000066,YC,  Diff,More-less,-0.09523809523809522,Republican,Counterfactual,-0.10 (0.09)
1,Immigration,Immigrant population,Democrat,Change,(Intercept),NA,0.052974522506642974,3.2671728764562125,0.001946646972687125,NA,NA,50.999999999997264,(YC == -1),Less,More-less,0.1730769230769231,Democrat,Change,NA
1,Immigration,Immigrant population,Democrat,Change,(Intercept),NA,0.06870717031248967,8.676734079462976,1.292597632628634e-11,NA,NA,50.999999999997264,(YC == 0), Same,More-less,0.596153846153846,Democrat,Change,NA
