Study,Topic,Party,Format,Y1?,N,category,estimate_pct,se_pct
2a,Obama Torture,Independent,Change,No,135,More,22.962962962962965,3.6333844140734683
2a,Obama Torture,Independent,Change,No,135,Same,65.18518518518523,4.115324610336955
2a,Obama Torture,Republican,Change,No,356,Diff,0.28089887640449446,3.194853520607579
2a,Obama Torture,Republican,Change,No,356,Less,17.977528089887645,2.0380612803445377
2a,Obama Torture,Republican,Change,No,356,More,18.258426966292145,2.0504019127456354
2a,Obama Torture,Republican,Change,No,356,Same,63.76404494382027,2.5511947307727274
2a,Opposed Kav,Democrat,Change,No,237,Diff,45.14767932489448,4.488656133457368
2a,Opposed Kav,Democrat,Change,No,237,Less,11.39240506329114,2.068174513588452
2a,Opposed Kav,Democrat,Change,No,237,More,56.54008438818563,3.2267599955101423
2a,Opposed Kav,Democrat,Change,No,237,Same,32.067510548523195,3.038193194999034
2a,Opposed Kav,Independent,Change,No,96,Diff,7.291666666666669,6.325385999362861
2a,Opposed Kav,Independent,Change,No,96,Less,15.625000000000004,3.7252472542454362
2a,Opposed Kav,Independent,Change,No,96,More,22.91666666666667,4.312153028672576
2a,Opposed Kav,Independent,Change,No,96,Same,61.45833333333336,4.993370971094654
2a,Opposed Kav,Republican,Change,No,225,Diff,-49.77777777777778,4.459893783188027
2a,Opposed Kav,Republican,Change,No,225,Less,59.555555555555564,3.279189902971935
2a,Opposed Kav,Republican,Change,No,225,More,9.777777777777777,1.9845078999435273
2a,Opposed Kav,Republican,Change,No,225,Same,30.666666666666664,3.080919260880345
2a,Supported Kav,Democrat,Change,No,95,Diff,-68.42105263157895,5.450203751132785
2a,Supported Kav,Democrat,Change,No,95,Less,71.57894736842105,4.652097479896194
2a,Supported Kav,Democrat,Change,No,95,More,3.157894736842106,1.8037112288197883
2a,Supported Kav,Democrat,Change,No,95,Same,25.26315789473685,4.481746243373484
2a,Supported Kav,Independent,Change,No,39,Diff,-17.94871794871795,8.901769276135212
2a,Supported Kav,Independent,Change,No,39,Less,25.64102564102564,7.083413480167724
2a,Supported Kav,Independent,Change,No,39,More,7.6923076923076925,4.322703745761665
2a,Supported Kav,Independent,Change,No,39,Same,66.66666666666666,7.647191129018725
2a,Supported Kav,Republican,Change,No,130,Diff,40.76923076923077,5.951118097834684
2a,Supported Kav,Republican,Change,No,130,Less,10.769230769230772,2.7293221828873575
2a,Supported Kav,Republican,Change,No,130,More,51.53846153846155,4.400170130691367
2a,Supported Kav,Republican,Change,No,130,Same,37.69230769230769,4.266800546039562
2a,Trump Coal,Democrat,Change,No,332,Diff,0.9036144578313245,4.233701080126343
2a,Trump Coal,Democrat,Change,No,332,Less,29.216867469879514,2.499583894214365
2a,Trump Coal,Democrat,Change,No,332,More,30.12048192771084,2.5216912521238295
2a,Trump Coal,Democrat,Change,No,332,Same,40.66265060240964,2.6999014786922264
2a,Trump Coal,Independent,Change,No,135,Diff,3.703703703703704,5.087124558266516
2a,Trump Coal,Independent,Change,No,135,Less,15.555555555555555,3.1309483648783125
2a,Trump Coal,Independent,Change,No,135,More,19.259259259259263,3.406542058502651
2a,Trump Coal,Independent,Change,No,135,Same,65.18518518518523,4.115324610336955
2a,Trump Coal,Republican,Change,No,356,Diff,14.88764044943821,3.1210929120237485
2a,Trump Coal,Republican,Change,No,356,Less,10.955056179775285,1.65766878738286
2a,Trump Coal,Republican,Change,No,356,More,25.842696629213485,2.3234412881114093
2a,Trump Coal,Republican,Change,No,356,Same,63.20224719101125,2.5595447818788952
2b,Biden / Hill,Democrat,Change,No,132,Diff,-8.333333333333334,4.4396467666643815
2b,Biden / Hill,Democrat,Change,No,132,Less,17.42424242424243,3.3141151034356686
2b,Biden / Hill,Democrat,Change,No,132,More,9.090909090909092,2.511722563616081
2b,Biden / Hill,Democrat,Change,No,132,Same,73.48484848484851,3.856650735812565
2b,Biden / Hill,Independent,Change,No,49,Diff,-20.40816326530612,5.817221556628254
2b,Biden / Hill,Independent,Change,No,49,Less,20.40816326530612,5.817221556628254
2b,Biden / Hill,Independent,Change,No,49,More,-0,0
2b,Biden / Hill,Independent,Change,No,49,Same,79.59183673469387,5.817221556628255
2b,Biden / Hill,Republican,Change,No,108,Diff,-13.88888888888889,5.652069240257547
2b,Biden / Hill,Republican,Change,No,108,Less,24.999999999999996,4.186091791394608
2b,Biden / Hill,Republican,Change,No,108,More,11.11111111111111,3.0381596756651708
2b,Biden / Hill,Republican,Change,No,108,Same,63.888888888888886,4.643454608906271
2b,DREAM Act,Democrat,Change,No,131,Diff,48.09160305343511,5.347704084569569
2b,DREAM Act,Democrat,Change,No,131,Less,6.106870229007633,2.1001706137777396
2b,DREAM Act,Democrat,Change,No,131,More,54.19847328244274,4.369802690578756
2b,DREAM Act,Democrat,Change,No,131,Same,39.694656488549626,4.291135671009222
2b,DREAM Act,Independent,Change,No,49,Diff,4.081632653061225,9.20255051596509
2b,DREAM Act,Independent,Change,No,49,Less,18.36734693877551,5.589005688828227
2b,DREAM Act,Independent,Change,No,49,More,22.448979591836732,6.022425581505365
2b,DREAM Act,Independent,Change,No,49,Same,59.18367346938774,7.094099868916398
2b,DREAM Act,Republican,Change,No,108,Diff,-4.62962962962963,7.714203078980414
2b,DREAM Act,Republican,Change,No,108,Less,34.25925925925925,4.587904741301815
2b,DREAM Act,Republican,Change,No,108,More,29.629629629629623,4.414343666854928
2b,DREAM Act,Republican,Change,No,108,Same,36.11111111111111,4.643454608906272
2b,Obama Torture,Democrat,Change,No,131,Diff,45.80152671755724,5.76089862835178
2b,Obama Torture,Democrat,Change,No,131,Less,9.16030534351145,2.530003557864298
2b,Obama Torture,Democrat,Change,No,131,More,54.961832061068684,4.363643698524778
2b,Obama Torture,Democrat,Change,No,131,Same,35.87786259541985,4.206739313864908
2b,Obama Torture,Independent,Change,No,49,Diff,10.204081632653061,9.333620907491321
2b,Obama Torture,Independent,Change,No,49,Less,16.3265306122449,5.334825558285075
2b,Obama Torture,Independent,Change,No,49,More,26.530612244897956,6.3724469371412225
2b,Obama Torture,Independent,Change,No,49,Same,57.14285714285714,7.142857142857142
2b,Obama Torture,Republican,Change,No,108,Diff,-9.25925925925926,7.387911345915063
2b,Obama Torture,Republican,Change,No,108,Less,34.25925925925925,4.587904741301815
2b,Obama Torture,Republican,Change,No,108,More,24.999999999999996,4.186091791394608
2b,Obama Torture,Republican,Change,No,108,Same,40.74074074074073,4.750077341199986
2b,Trump Coal,Democrat,Change,No,131,Diff,-3.8167938931297716,7.302263595243049
2b,Trump Coal,Democrat,Change,No,131,Less,36.6412213740458,4.225875451969641
2b,Trump Coal,Democrat,Change,No,131,More,32.824427480916036,4.118438565806303
2b,Trump Coal,Democrat,Change,No,131,Same,30.53435114503817,4.039314978724566
2b,Trump Coal,Independent,Change,No,49,Diff,-10.204081632653061,9.333620907491321
2b,Trump Coal,Independent,Change,No,49,Less,26.530612244897956,6.3724469371412225
2b,Trump Coal,Independent,Change,No,49,More,16.3265306122449,5.334825558285075
2b,Trump Coal,Independent,Change,No,49,Same,57.14285714285714,7.142857142857142
2b,Trump Coal,Republican,Change,No,108,Diff,15.740740740740735,6.599091192272391
2b,Trump Coal,Republican,Change,No,108,Less,16.666666666666664,3.6028141763926413
2b,Trump Coal,Republican,Change,No,108,More,32.407407407407405,4.5245960070300555
2b,Trump Coal,Republican,Change,No,108,Same,50.92592592592592,4.832853553437054
3,"Mueller
comments",Democrat,Change,No,256,Diff,48.046875,4.533147934711758
