study,Topic,Party,Estimator,Format,category,share,estimate,std.error,conf.low,conf.high,label
1,Endorsed Trump,Republican,CATE,Counterfactual,NA,NA,-0.08219178082191782,0.12143457668467764,-0.32426718517582986,0.15988362353199426,-0.08 (0.12)
1,Immigrant population,Democrat,More-less,Counterfactual,  Diff,-0.01960784313725489,-0.01960784313725489,0.048226943922917154,-0.11527712697494727,0.0760614407004375,-0.02 (0.05)
1,Immigrant population,Democrat,More-less,Counterfactual, More,0.10784313725490198,NA,0.03086428212206015,NA,NA,NA
1,Immigrant population,Democrat,More-less,Counterfactual, Same,0.7647058823529409,NA,0.04220773659171449,NA,NA,NA
1,Immigrant population,Democrat,More-less,Counterfactual,Less,0.12745098039215685,NA,0.03318224921942079,NA,NA,NA
1,Immigrant population,Democrat,More-less,Change + level,  Diff,0.06666666666666667,0.06666666666666667,0.08040302522073696,-0.09537498325039089,0.2287083165837242,0.07 (0.08)
1,Immigrant population,Democrat,More-less,Change + level, More,0.17777777777777776,NA,0.05763774795025093,NA,NA,NA
1,Immigrant population,Democrat,More-less,Change + level, Same,0.711111111111111,NA,0.0683294324254051,NA,NA,NA
1,Immigrant population,Democrat,More-less,Change + level,Less,0.11111111111111113,NA,0.04737793696791343,NA,NA,NA
1,Immigrant population,Democrat,More-less,Change,  Diff,0.057692307692307696,0.057692307692307696,0.08861878607096782,-0.12021732896885855,0.23560194435347392,0.06 (0.09)
1,Immigrant population,Democrat,More-less,Change, More,0.23076923076923078,NA,0.058997306834413114,NA,NA,NA
1,Immigrant population,Democrat,More-less,Change, Same,0.596153846153846,NA,0.06870717031248967,NA,NA,NA
1,Immigrant population,Democrat,More-less,Change,Less,0.1730769230769231,NA,0.052974522506642974,NA,NA,NA
1,Immigrant population,Democrat,CATE,Diff. in means,NA,NA,-0.5029562475364605,0.33324975117074185,-1.164114262414273,0.15820176734135194,-0.50 (0.33)
1,Immigrant population,Democrat,CATE,Counterfactual,NA,NA,-0.02941176470588234,0.10561399587012077,-0.2389215226594662,0.18009799324770154,-0.03 (0.11)
1,Immigrant population,Republican,More-less,Counterfactual,  Diff,-0,-0,0.06851887098275317,-0.1366227483683309,0.1366227483683309,-0.00 (0.07)
1,Immigrant population,Republican,More-less,Counterfactual, More,0.16666666666666669,NA,0.0442287410361896,NA,NA,NA
1,Immigrant population,Republican,More-less,Counterfactual, Same,0.6666666666666667,NA,0.05594542388644594,NA,NA,NA
1,Immigrant population,Republican,More-less,Counterfactual,Less,0.16666666666666669,NA,0.0442287410361896,NA,NA,NA
1,Immigrant population,Republican,More-less,Change + level,  Diff,-0.14893617021276598,-0.14893617021276598,0.09607815295267069,-0.3423314614435047,0.044459121017972725,-0.15 (0.10)
1,Immigrant population,Republican,More-less,Change + level, More,0.14893617021276598,NA,0.05249310253140096,NA,NA,NA
1,Immigrant population,Republican,More-less,Change + level, Same,0.5531914893617021,NA,0.07330262843906579,NA,NA,NA
1,Immigrant population,Republican,More-less,Change + level,Less,0.29787234042553196,NA,0.06742861107915607,NA,NA,NA
1,Immigrant population,Republican,More-less,Change,  Diff,-0.35135135135135137,-0.35135135135135137,0.11107052257601761,-0.5766128118735366,-0.12608989082916608,-0.35 (0.11)
