Study,Topic,Outcome,Party,N,quantity,estimate,std.error,p.value
2b,Biden / Hill,Y1,Republican,209,Actual,0.42424242424242414,0.049924513396843284,NA
2b,Biden / Hill,Y1,Republican,209,Difference,0.05151515151515148,0.06809865145877632,0.45022257063782944
2b,Biden / Hill,Y1,Republican,209,Guess,0.37272727272727285,0.04631381319425461,NA
2b,DREAM Act,Y0,Democrat,194,Actual,0.8936170212765957,0.03197203760837917,NA
2b,DREAM Act,Y0,Democrat,194,Difference,-0.05361702127659562,0.04878306003529678,0.27310464464071865
2b,DREAM Act,Y0,Democrat,194,Guess,0.8399999999999999,0.036845294917747066,NA
2b,DREAM Act,Y0,Republican,209,Actual,0.4770642201834862,0.04806187659174835,NA
2b,DREAM Act,Y0,Republican,209,Difference,0.032935779816513834,0.06952831369854214,0.6362108413972645
2b,DREAM Act,Y0,Republican,209,Guess,0.5100000000000001,0.05024183937956916,NA
2b,DREAM Act,Y1,Democrat,194,Actual,0.82,0.03861229196653692,NA
2b,DREAM Act,Y1,Democrat,194,Difference,-0.08425531914893598,0.049212309675476795,0.0884968669265057
2b,DREAM Act,Y1,Democrat,194,Guess,0.9042553191489361,0.030511347605209647,NA
2b,DREAM Act,Y1,Republican,209,Actual,0.5100000000000001,0.05024183937956916,NA
2b,DREAM Act,Y1,Republican,209,Difference,0.014587155963302748,0.0695619321592311,0.8341078567735517
2b,DREAM Act,Y1,Republican,209,Guess,0.4954128440366972,0.04811049762248401,NA
2b,Obama Torture,Y0,Democrat,195,Actual,0.6063829787234042,0.05066044053121245,NA
2b,Obama Torture,Y0,Democrat,195,Difference,0.21539919949441755,0.06349049167104046,8.398859706592028e-4
2b,Obama Torture,Y0,Democrat,195,Guess,0.8217821782178221,0.03826960017839147,NA
2b,Obama Torture,Y0,Republican,209,Actual,0.44954128440366975,0.047866898600912935,NA
2b,Obama Torture,Y0,Republican,209,Difference,0.03045871559633026,0.06937183940823692,0.6610727227464126
2b,Obama Torture,Y0,Republican,209,Guess,0.4800000000000001,0.050211673156867836,NA
2b,Obama Torture,Y1,Democrat,195,Actual,0.8613861386138617,0.034554313597257726,NA
2b,Obama Torture,Y1,Democrat,195,Difference,0.07415209606066979,0.054726952678295304,0.17701840715971484
2b,Obama Torture,Y1,Democrat,195,Guess,0.7872340425531914,0.042438647024554715,NA
2b,Obama Torture,Y1,Republican,209,Actual,0.4800000000000001,0.050211673156867836,NA
2b,Obama Torture,Y1,Republican,209,Difference,-0.015412844036697276,0.06954014741640377,0.8248130204641408
2b,Obama Torture,Y1,Republican,209,Guess,0.4954128440366972,0.04811049762248402,NA
2b,Trump Coal,Y0,Democrat,196,Actual,0.8723404255319149,0.034604152823488075,NA
2b,Trump Coal,Y0,Democrat,196,Difference,-0.21887507899726152,0.058838178649252074,2.6118438874181665e-4
